speciesid | content
242305799 | Plants 30-65 cm tall. Rhizome erect or ascending, scaly; scales brown, narrowly triangular, margins subdentate. Fronds caespitose; stipe dull grayish brown to gray-green, semiterete, 13-30 cm, subglabrous, adaxially sulcate; lamina triangular to ovate, 21-36 × 10-20 cm, not much reduced at base, apex acute-acuminate, bipinnate; pinnae 12-18 pairs, subopposite to alternate, stalks 2-3 mm, basal pinnae largest or slightly reduced, narrowly triangular, 7-14 × 3.5-4.5 cm, apex variable, from acute to caudate, 1-pinnate; pinnules 4-8 pairs, anadromous, free to subsessile, from ovate-elliptic to rhombic or cuneiform, apex obtuse, basal acroscopic pinnule ± equal to basal basiscopic pinnule, basal pair largest, 1.5-3 × 1-1.3 cm, base nearly symmetrical, cuneate, distal segments decurrent on rachis, lateral sides entire, outer margin dentate to crenate. Costa obvious on both sides, raised abaxially, adaxially shallowly grooved with raised supravascular ridge, veins 2- or 3-forked and not reaching margin. Fronds herbaceous, brownish green when dry, subglabrous; rachis grayish brown to gray-green, adaxially sulcate, apical part of rachis often gemmiferous. Sori 1-4 per pinnule, not reaching margin, linear, 5-10 mm; indusia brownish, linear, membranous, entire, opening toward costa or costule, persistent.
242305799 | Epiphytic in forests; 600-1400 m. Hainan [Indonesia, Malaysia, Philippines, Sri Lanka; Mascarene Islands].
242305799 | Hookers name, Asplenium spathulinum, has often been used to describe this variable taxon (e.g., Beddome, Ferns S. India, t. 226. 1864; Tardieu & Ching, Notul. Syst. (Paris) 5: 134-154. 1936; Holttum, Revis. Fl. Malaya 2: 439. 1954; Copeland, Fern Fl. Philipp. 3: 445. 1960; Chun et al., Fl. Hainan. 1: 116. 1964; S. H. Wu, FRPS 4(2): 70. 1999; T. L. Wu et al., Fl. Guangdong 7: 198. 2006). Manton and Sledge (Philos. Trans., Ser. B, 238: 127-185. 1954) showed that A. affine is an aggregate of an octoploid and a dodecaploid species (S India and Sri Lanka). Plants from closer to the type locality of Mauritius, in Réunion, were dodecaploid. Because specimens from the Hainan populations have the same ploidy level (12x), we use the name A. affine following Sledges (Bull. Brit. Mus. (Nat. Hist.), Bot. 3: 235-277. 1965) concept, based on morphological and cytological study. Mature A. affine plants can be very similar to juvenile specimens of A. pseudolaserpitiifolium and its relatives.
242305800 | 西部铁角蕨 xi bu tie jiao jue 
242305800 | Asplenium atuntzeense Viane & Reichstein; A. daghestanicum Christ subsp. aitchisonii (Fraser-Jenkins & Reichstein) Fraser-Jenkins; A. minutum Chang Y. Yang (1993), not Willdenow ex Klotsch (1847); A. subdigitatum Ching (1985), not Mettenius ex Kuhn (1868); A. xinjiangense Ching.
242305800 | Plants 8-18 cm tall. Rhizome short, erect to ascending, apex scaly; scales dark brown, ovate-triangular, 2-4 mm, often with marginal fimbriae. Fronds caespitose, bright to dark green, (2-)7-11(-15) cm; stipe usually as long as (up to 1/3 of) lamina, 2-6 cm, semiterete, base dark brown for 2-15 mm but green toward rachis, with narrow scales and uniseriate hairs, subglabrous when old; lamina narrowly triangular to ovate, base widest, (2-)3-6 × (0.5-)1-2(-3) cm, bipinnate at base, apex acute; pinnae 5-10 pairs, subopposite or alternate, basal pinnae with short stalks 0.5-2(-3) mm, upper pinnae sessile, basal pinnae usually largest, triangular to deltoid, 3-12(-18) × 3-10(-15) mm, apex obtuse, lowest pinnae 0.5-2 cm apart, each usually with 2 pinnules and broad, deeply pinnatifid apex, upper pinnae smaller, less divided and entire near apex; ultimate segments with cuneiform base and obtuse apex, margin dentate, with 3-5(-7) spreading teeth. Costa obvious but veins obscure, veins anadromously branching. Frond herbaceous, green to brown-green when dried, rachis semiterete, green, with narrow scales and uniseriate hairs; average guard cell length 56-61 µm. Sori submedian to median on subtending vein, confluent when mature, 2-3 mm; indusia membranous, repand to entire, opening toward costule or toward costa. Spores with lophate (costate to cristate) perispore, average exospore length 38-42 µm. Sexual hexaploid species: 2n = 216.
242305800 | On half-shaded, non-calcareous rocks; 1700-4200 m. S Gansu, Sichuan, Xinjiang, Xizang, Yunnan [Bhutan, N India, Nepal, Pakistan].
242305800 | Asplenium aitchisonii is similar to other members of the A. varians complex (i.e., A. altajense, A. kukkonenii, A. semivarians, A. tenuicaule, A. varians) and was often included in A. varians, e.g., by Beddome (Handb. Ferns Brit. India, 158. 1883), Hope (J. Bombay Nat. Hist. Soc. 13: 667. 1901), Stewart (Biologia 3: 133-164. 1957), and Stewart in Nasir and Ali (Fl. W. Pakistan, 18. 1972); however, it is usually widest at the base and has longer stomata and spores due to its higher number of chromosomes. This is an allohexaploid (not an octoploid as stated in the original description). Asplenium daghestanicum Christ, a tetraploid from the Caucasus and Libya (Tibesti), is genetically isolated from this species and thus better kept as a separate species. Plants from isolated populations, growing in sheltered conditions in regions with an extreme climate, are often less developed and have been described as separate species (i.e., A. xinjiangense, A. subdigitatum, A. minutum).
242305801 | 阿尔泰铁角蕨 a er tai tie jiao jue 
242305801 | Asplenium sarelii Hooker ["saulii"] f. altajense Komarov, Izv. Imp. Bot. Sada Petra Velikago 16: 150. 1916; A. chingianum Chang Y. Yang.
242305801 | Plants 5-15 cm tall. Rhizome erect, short, apex scaly; scales dark brown to black, narrowly triangular, 2-3.5 × 0.3-0.5 mm, entire. Fronds caespitose; stipe 2.5-3.5(-6) cm, base scaly and brown abaxially, green upward, adaxially green, sulcate, subglabrous; lamina 2-pinnatifid to 2-pinnate, narrowly triangular-ovate, 8-9 × 2-2.5 cm, base slightly reduced, apex acute; pinnae (5-)10-15 pairs, lower pinnae subopposite, often deltoid-flabellate or almost orbicular, upper alternate and gradually fused into 0.5-1 cm pinnatifid apex, second to fourth pair usually largest, stalk up to 1 mm and adaxially sulcate with raised supravascular ridge, middle pinnae triangular-ovate, ca. 11 × 8-10 mm, base asymmetrical, acroscopic side truncate, basiscopic side cuneate, 1-pinnate, apex obtuse; pinnules 2 or 3 pairs, anadromous, basal acroscopic pinnule free, largest, subovate, 4-5 × 2-4 mm, base cuneate, other pinnules adnate to costa and confluent into pinna apex, margins dentate-serrate, apex obtuse. Veins obscure, flabellately anadromous, slightly raised adaxially. Fronds papery, green to grayish green when dry, lamina subglabrous, average stomatal guard cell length 44-48 µm; rachis semiterete, green, adaxially sulcate and with raised supravascular ridge. Sori 2-4 per pinnule, basal to medial on pinnae, at maturity confluent, linear-elliptic, 1-2.5 mm; indusia grayish green, linear-elliptic, membranous, entire, opening toward costa or costules. Spores with lophate (cristate) perispore, average exospore length 32-34 µm. Plants sexual, allotetraploid: 2n = 144.
242305801 | In crevices of shaded rocks; 400-1500 m. Nei Mongol, Ningxia, Sichuan, Xinjiang [Mongolia, Russia (Altai, S Siberia)].
242305801 | Asplenium altajense is relatively common in the area bordering China, the Altai Mountains, Mongolia, and Russia, but future research will have to show if the area given by Grubov (Rast. Tsentral. Azii 1: 82. 1963) is correct. In general shape, this taxon is similar to A. pekinense Hance. However, most pinnae of A. altajense have only the basal acroscopic pinnule free, the others are confluent and form the pinna apex, while in A. pekinense several segments are free or just slightly adnate to the costa. The stipe is less scaly in A. altajense, and its texture is more herbaceous. Asplenium altajense is also similar to A. tenuicaule, from which it can be distinguished by the more narrow and acute teeth (obtuse to mucronate in A. tenuicaule). Due to confusion between A. tenuicaule, A. pekinense, and A. anogrammoides, the distribution of this taxon is not well known. Asplenium chingianum (type fragment in IBSC!) is a submature plant with immature sporangia, few and unripe spores, and almost no scales; it is also similar to A. nesii specimens from N Pakistan. The hybrid between A. altajense and A. tenuicaule is relatively common where they grow together.
242305807 | 广布铁角蕨 guang bu tie jiao jue 
242305807 | Asplenium leiboense Ching; A. sarelii Hooker var. anogrammoides (Christ) Tagawa; A. sepulchrale Hooker, p.p.
242305807 | Plants 10-30 cm tall. Rhizome short, erect or ascending, apex scaly; scales dark brown to black, narrowly triangular, 3-8 × 0.3-0.7 mm, margins denticulate; scale base hyaline, cordate, with numerous yellow-brown, unicellular hairs 1-5 × ca. 0.02 mm, similar to root hairs. Fronds caespitose; stipe 7-15 cm, semiterete, dark brown abaxially or becoming green toward rachis, upward green, adaxially green, shallowly sulcate with supravascular ridge, with similar scales as on rhizome, reduced hairlike scales toward rachis or subglabrous; lamina ovate, 6-13 × 2.5-7(-8) cm, base truncate, apex acute, tripinnatifid-tripinnate; pinnae 8-12 pairs, basal pairs subopposite to alternate, stalk 2-4 mm, sulcate adaxially; several basal pinnae pairs ± equal in length, ovate-triangular, 1.5-3 × 0.5-1.5 cm, base nearly symmetrical, truncate to broadly cuneate, 2-pinnatifid-bipinnate, apex acute; pinnules 4-6 pairs, anadromous, acroscopic and basiscopic pinnules ± equal in size, narrowly triangular to ovate, 5-10 × 3-6 mm, base asymmetrical, acroscopic side truncate, basiscopic side cuneate, largest pinnules stalked, others decurrent on costa, pinnatipartite-pinnate, apex acute; segments 2 or 3 pairs, linear to narrow elliptic, apex with 2 or 3 teeth. Costa sulcate adaxially, without median ridge, veins slightly raised adaxially, anadromously forked. Fronds firmly herbaceous, green to grayish green, lamina subglabrous, average stomatal guard cell length 48-52 µm; rachis green, semiterete, abaxially green or base castaneous becoming green toward apex, adaxially sulcate with raised median supravascular ridge, with reduced scales or subglabrous. Sori 2-4 per ultimate segment, median to subterminal on acroscopic vein, subconfluent at maturity, subelliptic, 1-2.5 mm; indusia grayish green, subelliptic, membranous, entire, opening toward costule or central veinlet, persistent. Spores brown, perispore lophate (cristate), average exospore length 33-36 µm. Plants sexual, allotetraploids: 2n = 144.
242305807 | Wet cliffs, in crevices of limestone rocks, on buildings and walls; 300-2800 m. Anhui, Fujian, Guangdong, Guizhou, Hebei, Hubei, Hunan, Jiangsu, Jiangxi, Jilin, Liaoning, Ningxia, Shaanxi, Shandong, Shanxi, Sichuan, Yunnan, Zhejiang [?India, Japan, Korea, Vietnam].
242305807 | Asplenium anogrammoides is an (allo)tetraploid (Kurita, J. Jap. Bot. 35: 269-272. 1960; Mitui, Sci. Rep. Tokyo Kyoiku Daigaku, B, 13: 285-333. 1968) and originated via chromosome doubling in the sterile hybrid between A. sarelii and A. tenuicaule (Lin & Sleep in K. H. Shing & K. U. Kramer, Proc. Int. Symp. Syst. Pterid. 111-127. 1989; Murakami et al., Amer. Fern J. 89: 232-243. 1999; Viane & Reichstein, Pterid. New Millennium, 73-105. 2003; Wang, Acta Bot. Sin. 45: 1-14. 2003). Their morphological similarity led to much confusion and misapplication of the name A. sarelii to this taxon (also called "tetraploid sarelii") (e.g., Christensen, Acta Horti Gothob. 1: 41-110. 1924; Ogata, Icon. Fil. Jap. 1: t. 8. 1928; Tardieu, Asplén. Tonkin, 46. 1932; Ching, Icon. Fil. Sin. 3: t. 111. 1935, p.p.; Fl. Pl. Herb. Chin. Bor.-Or. 1: 37. 1958; De Vol, Mus. Heude. Notes Bot. Chin. 7: 93. 1945, p.p.; Tagawa, Col. Ill. Jap. Pterid. 151. 1959; Kurata, J. Geobot. 11: 66-69. 1962; Mitui, loc. cit. 1968; Bull. Nippon Dental Coll., Gen. Educ. 4: 221-271. 1975; Kurata & Nakaike, Ill. Pterid. Jap. 2: 164-173. 1981; Ding & Gao, Fl. Henan 1: 67. 1981; Sleep & Reichstein, Candollea 39: 675-691. 1984; Ching & S. H. Wu, Acta Phytotax. Sin. 23: 1-10. 1985; Jiang, Fl. Anhui 1: 136. 1985, p.p.; Bir, Biol. Indian Pterid. 215-221. 1987; Jamir & Rao, Ferns Nagaland, 289-290. 1988; H. S. Kung, Fl. Sichuan. 6: 377. 1989; Chen, Fl. Shandong 1: 96. 1990; Li, Fl. Liaoning 1: 77. 1990, p.p.; L. K. Lin, Fl. Fujian. 1: 131. 1991; Iwatsuki, Ferns Jap. 146. 1992; Fl. Jap. 1: 104. 1995; Murakami et al., loc. cit.; S. H. Wu, FRPS 4(2): 98. 1999, p.p.; P. S. Wang & X. Y. Wang, Pterid. Fl. Guizhou, 138. 2001, p.p.; Li et al., Fl. Hunan 1: 287. 2004, p.p.; G. F. Zhang, Fl. Yunnan. 20: 669. 2006). Moreover, less-divided plants of A. anogrammoides are similar to large plants of A. pekinense (the autotetraploid arisen from A. sarelii).
242305807 | On the other hand, the name Asplenium anogrammoides has been misapplied (e.g., Komarov, Izv. Imp. S.-Peterburgsk. Bot. Sada 16: 145-151. 1916; Komarov & Klobukova-Alisova, Opred. Rast. Dalnevost. Kraia 1: 82. 1931; Fomin, Fl. Sibir. Orient. Extremi 5: 152-154. 1930; in Komarov & Iljin, Fl. URSS 1: 68. 1934; Ching, loc. cit.: 37. 1958) to S Siberian and Mongolian A. tenuicaule var. subvarians.
242305807 | Yellow-brown (root)hairs are present on the rhizome, stipe base, and scale base of Asplenium altajense, A. anogrammoides, A. pekinense, A. sarelii, A. tenuicaule, and other related taxa, and thus cannot be used to distinguish them. The average exospore and stomata length are the most reliable characters discriminating between diploid and tetraploids in this complex. Asplenium anogrammoides can often be separated from A. pekinense by its largely not-reduced lamina base and its ovate-triangular (vs. deltoid) pinnae with stalks 2-4 mm (vs. 0.5-2 mm).
242305807 | Where Asplenium anogrammoides grows together with A. tenuicaule, their sterile triploid hybrid, A. ×mitsutae, is common. Asplenium ×mitsutae Viane & Reichstein, nothosp. nov. Type: China. Sichuan: Qingcheng Shan, ca. 70 km WNW of Chengdu, mixed evergreen forest with Rhododendron, on wall inside temple yard together with A. anogrammoides and A. tenuicaule, 1050 m, 16 Sep 1988, Viane 4046-B (= TR-7177) (holotype, GENT). Planta hybrida, inter parentes A. anogrammoides et A. tenuicaule quoad divisionem laminae atque pinnularum segmentorumque formam necnon dimensiones cellularum accessoriarum stomatum intermedia, ab eis sporis abortivis necnon chromosomatum numero triploideo (2n = 108, meiose bivalentibus univalentibusque 36) differt. Meiotic chromosome behavior in this hybrid shows that A. anogrammoides contains one chromosome set of A. tenuicaule. This hybrid is named after S. Mitsuta, who collected it for us in Japan with several other living plants in 1985. Asplenium sarelii var. magnum H. S. Kung, described from Sichuan, is probably the same hybrid combination.
242305807 | "Asplenium wudangense" (Z. R. Wang & X. Hou, Acta Bot. Sin. 45: 4. 2003) belongs here but was not validly published because no Latin description or diagnosis, or reference to such, was provided (Melbourne Code, Art. 39.1).
242305808 | 大鳞巢蕨 da lin chao jue 
242305808 | Neottopteris antiqua (Makino) Masamune; N. rigida Fée var. erubescens Nakai; Thamnopteris antiqua (Makino) Makino.
242305808 | Plants 80-100 cm tall. Rhizome erect, massive; scales on apex brown to dark grayish brown, ovate-triangular, entire to fibrillose. Fronds caespitose; stipe pale brown to dark brown, 2-5(-7) cm, woody, terete abaxially, adaxially grooved, scales at stipe base numerous, similar to those on rhizome, 15-30 × 2-6 mm; lamina narrowly lanceolate, 75-100 × 6.5-8.5(-15) cm, cuneate at base, margin entire and cartilaginous. Midrib raised on both sides, semiterete abaxially, dark brown, subglabrous; veins slightly raised on both sides, forked or simple, parallel, connected to marginal vein. Fronds leathery, after drying brownish green or brownish. Sori linear, 3-4 cm, on acroscopic veins, occupying 2/3-3/4 of subtending vein, lower parts of lamina usually sterile; indusia brownish or grayish brown, linear, thickly membranous, entire, persistent. Spores with lophate perispore. Plants tetraploid: 2n = 144.
242305808 | On rocks or tree trunks in forests; 600-1600 m. Fujian, ?Hunan, Taiwan [Japan, Korea].
242305808 | Asplenium antiquum was wrongly reported from Hainan (S. H. Wu, FRPS 4(2): 137. 1999).
242305809 | 狭翅巢蕨 xia chi chao jue 
242305809 | Asplenium antrophyoides var. grossidentatum Bonaparte ex Tardieu; A. latipes (Ching ex S. H. Wu) Viane; A. subspathulatum Rosenstock; Neottopteris antrophyoides (Christ) Ching; N. antrophyoides var. cristata Ching & S. H. Wu; N. latipes Ching ex S. H. Wu.
242305809 | Plants 30-60 cm tall. Rhizome erect and short, apex scaly; scales dark brown, narrowly triangular, entire. Fronds caespitose, subsessile or with extremely short stipe; stipe stramineous, soft; lamina spatulate to very narrowly obovate, 25-60 × 4.5-6.5(-8) cm, gradually reduced into a 1-2 cm wide lateral wing; margin entire, often cartilaginous, apex cuspidate to caudate. Midrib flat to carinate at base abaxially, stramineous, subglabrous but with dark brown lanceolate scales at its base; veins visible on both sides, simple or forked, parallel. Fronds subleathery, brownish green to dark green after drying, subglabrous. Sori restricted to upper part of lamina, linear, 1.5-2.5 cm, borne on acroscopic veinlets and occupying 2/3-3/4 of their length; indusia brownish, linear, membranous, entire, persistent. Spores with lophate (cristate) perispore. Plants sexual tetraploid: 2n = 144.
242305809 | On limestone rocks or on tree trunks in dense forests; 300-1300 m. Guangdong, Guangxi, Guizhou, Hunan, Sichuan, Yunnan [Laos, Thailand, Vietnam].
242305809 | Asplenium antrophyoides var. grossidentatum Bonaparte ex Tardieu (Asplén. Tonkin, 25. 1932; Neottopteris antrophyoides var. cristata Ching & S. H. Wu) is an aberrant monstrosity with a lacerate frond, known from Vietnam and SE Yunnan. Another form with a very wide frond base and described as Neottopteris latipes by Ching is also treated as a synonym; the perispores are similar (Wei & Dong, Nordic J. Bot. 30: 90-103. 2012).
242305815 | 黑鳞铁角蕨 hei lin tie jiao jue 
242305815 | Plants ca. 30 cm tall. Rhizome erect, short, apex scaly; scales blackish brown, narrowly triangular, with broad, fimbriate and hastate base, apex filiform. Fronds caespitose; stipe castaneous to dark brown, 5-7 cm, with scales similar to those on rhizome; lamina linear, 20-23 × 2-3 cm, attenuate to both ends, 1-pinnate; pinnae ca. 25 pairs, basal ones (sub)opposite, upper ones alternate, sessile, middle pinnae oblong-elliptic, 1-1.5 × ca. 0.4 cm, base asymmetrical, acroscopic side truncate, basiscopic side cuneate, margin crenate-serrate, apex truncate-obtuse; lower pinnae gradually reduced. Venation anadromously pinnate, obscure, veins simple or forked. Fronds herbaceous-leathery, brownish green when dry, both surfaces with hastate-stellate scales; rachis dark purplish brown, semiterete, adaxially sulcate, ridges rounded and without wings, with hastate-stellate scales. Sori 6-8(or 9) per pinna, linear, 3-4 mm, on acroscopic veinlets; indusia yellowish brown, broadly linear, membranous, entire, opening toward costa.
242305815 | ● On rocks in forests; ca. 1000 m. Guizhou (Duyun, Tongren).
242305815 | Asplenium asterolepis is similar, and perhaps conspecific, to A. crinicaule but has smaller, more oblong pinnae. Its scales are deltoid-tridentate with a very long central apical tail, as those of A. crinicaule. At present, this taxon seems to be known only from the type collection and may represent just a local variant of A. crinicaule.
242305818 | 华南铁角蕨 hua nan tie jiao jue 
242305818 | Asplenium consimile Ching ex S. H. Wu (1989), not Rémy (1854); A. jiulungense Ching; A. nanchuanense Ching & Z. Y. Liu; A. pseudowilfordii Tagawa; A. wilfordii Mettenius ex Kuhn var. austrochinense (Ching) Tagawa; Tarachia austrochinensis (Ching) H. Itô.
242305818 | Plants 30-40 cm tall. Rhizome erect, short, apex scaly; scales dark to medium brown, narrowly triangular, fimbriate in basal part to subentire near apex. Fronds caespitose; stipe up to 20 cm, semiterete, base abaxially dull, dark purplish to gray-yellow when dry, adaxially green and sulcate, base with scales similar to those on rhizome, toward rachis with gradually smaller and more hastate-stellate scales with fimbriae; lamina triangular-ovate to narrowly triangular, 18-26 × 6-10 cm, base cuneate to truncate, apex acute-acuminate, 2-pinnatifid to 3-pinnatifid; pinnae 10-15 pairs, subopposite to alternate, stalk 3-4 mm, basal pinnae not reduced, narrowly triangular-ovate, 4.5-8 × 1.7-3 cm, apex acute to caudate, pinnate to 2-pinnatifid; pinnules 3-5 pairs, anadromous, basal acroscopic pinnule largest, free or adnate to costa, rhombic, 1-2 × 0.6-1.2 cm, apex obtuse-truncate to subacute, basal pinnule simple to pinnatifid and with 2 or 3 segments, base cuneate or decurrent on costa in upper pinnae, margin serrate-crenate to sinuate, teeth usually obtuse, costa sulcate adaxially, narrowly winged. Veins obvious abaxially, obscure but occasionally raised adaxially, venation anadromous, veins subflabellate, not reaching margin. Fronds herbaceous to leathery, green, or yellowish brown when dry, lamina with reduced, hastate-stellate, and fimbriate scales or subglabrous; rachis semiterete, green, or more rarely purplish brown or gray, sulcate and green adaxially. Sori 2-6(-9) per pinnule, short, linear, 3-5 mm; indusia pale brown, linear, firm, membranous, entire, opening toward costule or costa, persistent. Plants octoploid: 2n = 288.
242305818 | On wet rocks or moss cushions on trees in dense forests; 400-1100 m. Anhui, Fujian, Guangdong, Guangxi, Guizhou, Hubei, Hunan, Jiangxi, Sichuan, SE Yunnan, Zhejiang [Japan, Vietnam].
242305818 | Plants of Asplenium austrochinense from Guangdong are octoploid like the Japanese (Shimura & Takiguchi, J. Jap. Bot. 54: 311-318. 1979), and scales are similar in Chinese and Japanese specimens. Upon drought stress, the margins of the frond tend to roll inward, protecting the abaxial epidermis with the stomata. The name A. consimile Ching was used to describe plants with a somewhat thinner lamina.
200004107 | 大盖铁角蕨 da gai tie jiao jue 
200004107 | Asplenium cavalerianum Christ; A. grandifrons Christ; A. latecuneatum Christ; A. viridissimum Hayata.
