"id"|"SPECIES"|"ADDRESS"|"SOURCE"
74|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,始兴县,,都亨公社樟栋水林场凉桥坑                                                                                                                                                                                                              "|"brahms    "
75|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Hunan,,,                                                                                                                                                                                                                                                "|"brahms    "
76|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Sichuan,Emei Xian,Emei Shan,峨眉山保掌山                                                                                                                                                                                                                "|"brahms    "
77|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Sichuan,Emei Xian,Emei Shan,峨眉山伏虎寺                                                                                                                                                                                                                "|"brahms    "
78|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Hunan,,,莽山京竹坑                                                                                                                                                                                                                                      "|"brahms    "
79|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Hunan,宜章,,栗源堡附近                                                                                                                                                                                                                                  "|"brahms    "
80|"Cryptotaenia canadensis auct.non(L.) DC.                                                                                                                                                                                                                      "|"China,Sichuan,巫山县,,骡坪楚阳公社                                                                                                                                                                                                                            "|"brahms    "
81|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,阳山县,,成公坪                                                                                                                                                                                                                                "|"brahms    "
82|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,英德县,,背村                                                                                                                                                                                                                                  "|"brahms    "
83|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,大埔县,,丰溪林场                                                                                                                                                                                                                              "|"brahms    "
84|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,始兴县,,樟栋水三角塘                                                                                                                                                                                                                          "|"brahms    "
