"id"|"SPECIES"|"ADDRESS"|"SOURCE"
998|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Jiangxi,庐山,,楼贡寺                                                                                                                                                                                                                                    "|"brahms    "
999|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Jiangxi,新建县,,西山小梅岭南杨梅岭                                                                                                                                                                                                                      "|"brahms    "
1000|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Yunnan,屏边县,,Ping-pien Hsien                                                                                                                                                                                                                          "|"brahms    "
1001|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,临桂县,,潮田七分山分广埇                                                                                                                                                                                                                        "|"brahms    "
1002|"Cryptotaenia canadensis auct.non(L.) DC.                                                                                                                                                                                                                      "|"China,Sichuan,,,                                                                                                                                                                                                                                              "|"brahms    "
1003|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,,,Lo-mong                                                                                                                                                                                                                                       "|"brahms    "
1004|"Cryptotaenia canadensis                                                                                                                                                                                                                                       "|"North America,Canada,Québec,,Saint-Fran?ois-de-Sales                                                                                                                                                                                                         "|"GBIF      "
1005|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,平果县,,紫圹乡底潭                                                                                                                                                                                                                              "|"brahms    "
1006|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,东兰县,,隘洞区切学乡那塘村和南丹县交界                                                                                                                                                                                                          "|"brahms    "
1007|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Chongqing,Nanchuan Xian,,金仸山泥马庙                                                                                                                                                                                                                   "|"brahms    "
1008|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Hunan,,,莽山金竹坑                                                                                                                                                                                                                                      "|"brahms    "
1009|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Hunan,会同县,,大墓乡王潭村                                                                                                                                                                                                                              "|"brahms    "
1010|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Fujian,德化县,,渌头乡侠屋坑                                                                                                                                                                                                                             "|"brahms    "
1011|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Jiangxi,,,牯岺黄龙寺前树林下                                                                                                                                                                                                                            "|"brahms    "
1012|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guizhou,清镇县,,Vicinity of Tsingchen                                                                                                                                                                                                                   "|"brahms    "
1013|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Sichuan,Shimian Xian,,                                                                                                                                                                                                                                  "|"brahms    "
1014|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,,,                                                                                                                                                                                                                                            "|"brahms    "
1015|"Cryptotaenia canadensis                                                                                                                                                                                                                                       "|"North America,Canada,Québec,,Ile Perrot                                                                                                                                                                                                                      "|"GBIF      "
1016|"Cryptotaenia canadensis                                                                                                                                                                                                                                       "|"North America,Canada,Québec,Montréal,Montréal, Mont Royal, au sud-ouest du marais                                                                                                                                                                          "|"GBIF      "
1017|"Cryptotaenia canadensis (L.) DC.                                                                                                                                                                                                                              "|"North and Central America,US,Alabama,Hale,Gallion; Big Prairie Creek                                                                                                                                                                                          "|"GBIF      "
1018|"Cryptotaenia japonica                                                                                                                                                                                                                                         "|",CN,,,                                                                                                                                                                                                                                                        "|"GBIF      "
1019|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"North America,United States,California,Los Angeles,City of Santa Monica. Yaohan: 3760 Centinela Avenue: Santa Monica, CA: 90066: (310) 398-2113 - phone.                                                                                                      "|"GBIF      "
1020|"Cryptotaenia canadensis (L.) DC.                                                                                                                                                                                                                              "|"North America,United States,Missouri,Boone,Rock bridge memorial state park: in low woods along s bank of gans cr. About 350 M downstream from the creek's entrance into the park                                                                              "|"GBIF      "
1021|"Cryptotaenia canadensis                                                                                                                                                                                                                                       "|",U.S.A.,West Virginia,,                                                                                                                                                                                                                                       "|"GBIF      "
1022|"Cryptotaenia japonica                                                                                                                                                                                                                                         "|",Japan,Nara,Yoshino-gun Kamikitayamamura,                                                                                                                                                                                                                     "|"GBIF      "
1023|"Cryptotaenia canadensis (L.) DC.                                                                                                                                                                                                                              "|"North America,U.S.A.,Illinois,Cook,Leyden township                                                                                                                                                                                                            "|"GBIF      "
1024|"Cryptotaenia canadensis (L.) DC.                                                                                                                                                                                                                              "|"North America,U.S.A.,Illinois,Cook,                                                                                                                                                                                                                           "|"GBIF      "
1025|"Cryptotaenia canadensis                                                                                                                                                                                                                                       "|",Canada,Québec,,Saint-Timothée.                                                                                                                                                                                                                             "|"GBIF      "
1026|"Cryptotaenia canadensis                                                                                                                                                                                                                                       "|",Canada,Québec,,Comté de Portneuf, Neuville                                                                                                                                                                                                                 "|"GBIF      "
1027|"Cryptotaenia canadensis                                                                                                                                                                                                                                       "|",Canada,Québec,,environs de Montréal; Comté de Rouville, Saint-Hilaire                                                                                                                                                                                     "|"GBIF      "
1028|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|",Japan,Tokyo,,KANTO:TOKYO Pref., Nishi-tama-gun, Itsukaichi-machi, Fukazawa, alt.250-350m                                                                                                                                                                     "|"GBIF      "
1029|"Cryptotaenia canadensis                                                                                                                                                                                                                                       "|",Japan,,,Honshu, Tohoku Distr., Miyagi Pref., Shiroishi-shi, Eshimae, Zaimokuiwa.                                                                                                                                                                             "|"GBIF      "
1030|"Cryptotaenia canadensis (L.) DC.                                                                                                                                                                                                                              "|",United States,North Carolina,Forsyth,                                                                                                                                                                                                                        "|"GBIF      "
1031|"Cryptotaenia canadensis                                                                                                                                                                                                                                       "|"North America,USA,Kansas,Labette,E edge of Chetopa                                                                                                                                                                                                            "|"GBIF      "
1032|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|",Japan,Kanagawa,Atsugi-shi,                                                                                                                                                                                                                                   "|"GBIF      "
1033|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|",Japan,Hyogo,Shiso-gun, Haga-cho, Akazai-valley,                                                                                                                                                                                                              "|"GBIF      "
1034|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|",TAIWAN (R.O.C),,,ShihshuishanAlishan Hsiang, Taiwan                                                                                                                                                                                                          "|"GBIF      "
1035|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|",Japan,,,                                                                                                                                                                                                                                                     "|"GBIF      "
1036|"Cryptotaenia japonica                                                                                                                                                                                                                                         "|",Japan,Kanagawa Prefecture,Ashigarakami-gun, Yamakita-machi,                                                                                                                                                                                                  "|"GBIF      "
1037|"Cryptotaenia canadensis (L.) DC.                                                                                                                                                                                                                              "|",United States,Maryland,Prince Georges,East of Sunnyside                                                                                                                                                                                                      "|"GBIF      "
1038|"Cryptotaenia canadensis (L.) DC.                                                                                                                                                                                                                              "|"North America,United States,Virginia,Fauquier,North of Hopewell Gap, western slope of Bull Run Mts.                                                                                                                                                           "|"GBIF      "
1039|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|",Taiwan,Taipei City,,                                                                                                                                                                                                                                         "|"GBIF      "
1040|"Cryptotaenia calycina C.C.Towns.                                                                                                                                                                                                                              "|"Africa,Tanzania,Kilosa,,Rubeho Mountains, Ukwiva FR pt17 - pt18. Montane forest with grassy glades/hilltops & swamps                                                                                                                                          "|"GBIF      "
1041|"Cryptotaenia canadensis (L.) DC.                                                                                                                                                                                                                              "|"North America,USA,Louisiana,St. Martin Parish,Cypress Island Preserve                                                                                                                                                                                         "|"GBIF      "
1042|"Cryptotaenia elegans Webb ex Bolle                                                                                                                                                                                                                            "|",ESP,Tf,,P.N. Do?ana                                                                                                                                                                                                                                          "|"GBIF      "
1043|"Cryptotaenia japonica                                                                                                                                                                                                                                         "|",Japan,Kanagawa Prefecture,Ashigarashimo-gun, Yugawara-machi,Miyakami                                                                                                                                                                                         "|"GBIF      "
1044|"Cryptotaenia japonica                                                                                                                                                                                                                                         "|",Japan,Kanagawa Prefecture,Ashigarashimo-gun, Hakone-machi,                                                                                                                                                                                                   "|"GBIF      "
1045|"Cryptotaenia japonica                                                                                                                                                                                                                                         "|",Japan,Kanagawa Prefecture,Ashigarakami-gun, Yamakita-machi,                                                                                                                                                                                                  "|"GBIF      "
1046|"Cryptotaenia japonica                                                                                                                                                                                                                                         "|",Japan,Okayama,Yoshinaga-cho,                                                                                                                                                                                                                                 "|"GBIF      "
1047|"Cryptotaenia japonica                                                                                                                                                                                                                                         "|",Japan,Okayama Prefecture,Okayama City,Higashihanajiri                                                                                                                                                                                                        "|"GBIF      "
1048|"Cryptotaenia japonica                                                                                                                                                                                                                                         "|",Japan,Akita,Semboku-gun Tazawakomachi,Mizusawa                                                                                                                                                                                                               "|"GBIF      "
1049|"Cryptotaenia canadensis (L.) DC.                                                                                                                                                                                                                              "|",US,Connecticut,Hartford County,Northwest Park                                                                                                                                                                                                                "|"GBIF      "
1050|"Cryptotaenia canadensis (L.) DC.                                                                                                                                                                                                                              "|",US,Connecticut,Tolland County,Bone Mill Road                                                                                                                                                                                                                 "|"GBIF      "
